timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
4642453,0.55583304,0.1806634,-0.16958398
4664666,0.33727586,0.18788339,-0.17764194
4686438,0.3513763,0.14765772,-0.17879309
4708439,0.33304572,0.17447484,-0.17533968
4730439,0.33586583,0.18788339,-0.17188627
4752439,0.33445576,0.18891482,-0.17649081
4774442,0.33727586,0.18994625,-0.28584886
4796471,0.51917183,0.18788339,-0.15346806
4818439,0.3386859,0.18685196,-0.17303741
4840439,0.34573612,0.13321774,-0.05101685
4862439,0.34855622,0.165192,-0.13159646
4884459,0.5487828,0.1847891,-0.17303741
4906438,0.6249253,0.1847891,-0.17649081
4928445,0.3880375,0.18685196,-0.2685818
4950438,0.52622205,0.1847891,-0.15807262
4972439,0.33586583,0.18788339,-0.17649081
4994439,0.3570165,0.15487772,-0.17994422
5016439,0.3386859,0.16931769,-0.16728172
5038439,0.34855622,0.18272625,-0.16958398
5060448,0.34573612,0.18375768,-0.17533968
5082442,0.34855622,0.18272625,-0.287
5104439,0.53609234,0.1847891,-0.16613057
5126439,0.34291604,0.18272625,-0.1603749
5148439,0.341506,0.13424917,-0.18224649
5169455,0.33727586,0.18169482,-0.16958398
5191507,0.35842654,0.1806634,-0.1638283
5213510,0.372527,0.17756912,-0.28815114
5235510,0.5135316,0.1806634,-0.16152602
5256693,0.33727586,0.18169482,-0.17188627
5278476,0.34291604,0.13115488,-0.16497944
5300473,0.57698375,0.17860055,-0.15231693
5322473,0.3626567,0.17860055,-0.16613057
5343473,0.34714618,0.17241198,-0.2835466
5366439,0.35842654,0.17241198,-0.287
5388439,0.3654768,0.16931769,-0.16613057
5411442,0.34996626,0.17241198,-0.16728172
5433448,0.36688682,0.12496632,-0.1603749
5455439,0.34996626,0.157972,-0.16152602
5477448,0.3598366,0.17138055,-0.16152602
5499470,0.34996626,0.17138055,-0.16267717
5520459,0.36124665,0.16931769,-0.28584886
5542438,0.3598366,0.16828628,-0.16267717
5565442,0.36124665,0.16725485,-0.16497944
5587438,0.3809873,0.11465205,-0.16843285
5609451,0.35842654,0.15075201,-0.17073514
5631776,0.3541964,0.16828628,-0.1546192
5653439,0.34573612,0.16828628,-0.1638283
5674439,0.36688682,0.16312914,-0.27433747
5696573,0.34291604,0.17138055,-0.15346806
5718439,0.3753471,0.13631202,-0.1638283
5740447,0.34714618,0.12909204,-0.1638283
5762450,0.3386859,0.16931769,-0.16152602
5785364,0.34009594,0.17138055,-0.15922375
5806490,0.341506,0.17034912,-0.27433747
5827461,0.5967244,0.16828628,-0.15577035
5850438,0.34996626,0.17034912,-0.1546192
5873387,0.34291604,0.17241198,-0.15116578
5894442,0.3513763,0.12290347,-0.15346806
5916439,0.34714618,0.17138055,-0.14656125
5939439,0.33445576,0.16931769,-0.14886352
5962165,0.35278636,0.16725485,-0.16152602
5984450,0.33727586,0.17034912,-0.15692149
6007439,0.33727586,0.17034912,-0.15577035
6029439,0.4543097,0.17034912,-0.14656125
6051439,0.46700013,0.17241198,-0.1454101
6073468,0.3386859,0.16931769,-0.15231693
6097476,0.38944757,0.13940631,-0.15807262
6119468,0.33022565,0.17034912,-0.15692149
6141473,0.32881558,0.16725485,-0.15577035
6163468,0.3781672,0.13734345,-0.15346806
6186448,0.3231754,0.16931769,-0.15001465
6208439,0.32740554,0.16931769,-0.27663976
6230442,0.3259955,0.16931769,-0.14886352
6252439,0.3626567,0.13837488,-0.15577035
6274450,0.341506,0.13218631,-0.15116578
6296461,0.34291604,0.16622342,-0.15346806
6318448,0.3231754,0.16931769,-0.15231693
6340459,0.5389125,0.17034912,-0.14656125
6361459,0.32740554,0.17034912,-0.26973292
6383438,0.4049581,0.15075201,-0.15001465
6406438,0.41059828,0.15694056,-0.15116578
6429439,0.32458547,0.121872045,-0.15346806
6451439,0.32881558,0.13218631,-0.14771238
6473439,0.33163568,0.16828628,-0.15346806
6495439,0.32740554,0.16828628,-0.1454101
6518439,0.31330505,0.17034912,-0.14771238
6540439,0.31894523,0.17034912,-0.26512837
6562439,0.40777817,0.16931769,-0.16728172
6584471,0.33022565,0.16931769,-0.15577035
6605721,0.32881558,0.12084061,-0.15346806
6628439,0.32740554,0.13940631,-0.1454101
6649444,0.32458547,0.16725485,-0.14656125
6672439,0.33022565,0.16828628,-0.15116578
6694534,0.5755737,0.1620977,-0.14886352
6717451,0.33445576,0.16622342,-0.24325678
6739452,0.5586531,0.16622342,-0.15116578
6761451,0.33022565,0.16828628,-0.15231693
6783445,0.3259955,0.1425006,-0.14656125
6805451,0.3231754,0.15075201,-0.15346806
6827471,0.35842654,0.16003485,-0.16267717
6849454,0.34009594,0.16106628,-0.15346806
6870439,0.4359791,0.16416056,-0.16728172
6891439,0.341506,0.11465205,-0.14771238
6913459,0.33445576,0.11568347,-0.15001465
6935449,0.31894523,0.16828628,-0.15231693
6957439,0.3203553,0.16312914,-0.1603749
6979442,0.3654768,0.16003485,-0.28239545
7001455,0.33163568,0.16003485,-0.27318633
7023439,0.33586583,0.16106628,-0.14771238
7044658,0.57134354,0.1239349,-0.1603749
7066439,0.46135992,0.15694056,-0.16152602
7089451,0.34009594,0.15590914,-0.12238736
7111450,0.33586583,0.15694056,-0.070586175
7133452,0.34009594,0.15900342,-0.2409545
7155439,0.402138,0.15900342,-0.20642038
7177683,0.341506,0.15900342,-0.17073514
7199439,0.3386859,0.11568347,-0.1603749
7221459,0.33163568,0.12909204,-0.16152602
7243438,0.33727586,0.15900342,-0.15807262
7265439,0.32740554,0.15900342,-0.1638283
7287442,0.32740554,0.16416056,-0.27779087
7309439,0.3203553,0.16106628,-0.27894202
7331439,0.33163568,0.15900342,-0.1638283
7353439,0.3626567,0.121872045,-0.16843285
7375439,0.33163568,0.13631202,-0.16497944
7397439,0.3259955,0.165192,-0.16152602
7419448,0.31894523,0.16416056,-0.16267717
7441449,0.3231754,0.16312914,-0.28239545
7463439,0.4148284,0.16725485,-0.17764194
7485439,0.32458547,0.16416056,-0.16958398
7507458,0.32740554,0.11877776,-0.17649081
7529438,0.311895,0.1167149,-0.16613057
7551438,0.30907494,0.16828628,-0.16267717
7573439,0.29779458,0.165192,-0.1638283
7595442,0.3175352,0.1620977,-0.28584886
7617439,0.31330505,0.165192,-0.23980336
7639439,0.3231754,0.16312914,-0.17649081
7661439,0.33022565,0.12702918,-0.17879309
7683450,0.29920462,0.14146917,-0.16958398
7705578,0.2921544,0.17138055,-0.15922375
7727458,0.30625483,0.16725485,-0.17764194
7749722,0.31471512,0.13218631,-0.17533968
7771475,0.38662747,0.16725485,-0.16843285
7793481,0.29356444,0.16725485,-0.16728172
7815438,0.29920462,0.12290347,-0.16613057
7837439,0.29920462,0.13424917,-0.17303741
7859438,0.2963845,0.16725485,-0.17303741
7881439,0.3175352,0.16416056,-0.18224649
7903445,0.29356444,0.17138055,-0.28815114
7925439,0.29356444,0.16725485,-0.28584886
7947439,0.280874,0.17138055,-0.17303741
7969439,0.30907494,0.13218631,-0.17879309
7991439,0.29920462,0.14868915,-0.16958398
8013450,0.29074433,0.16828628,-0.17188627
8035439,0.31330505,0.16312914,-0.17533968
8057443,0.32458547,0.16106628,-0.30081365
8078442,0.32458547,0.1620977,-0.18339764
8099444,0.33304572,0.11877776,-0.18339764
8121459,0.33163568,0.16106628,-0.18109536
8143438,0.32458547,0.15900342,-0.18339764
8165438,0.32458547,0.16003485,-0.17649081
8187438,0.32881558,0.16312914,-0.2996625
8209450,0.31894523,0.16312914,-0.18224649
8231439,0.4246987,0.14972058,-0.17764194
8253442,0.36406675,0.12599775,-0.18224649
8275439,0.31894523,0.16003485,-0.17073514
8297439,0.3203553,0.15694056,-0.17764194
8319450,0.31612515,0.1620977,-0.23980336
8341454,0.33163568,0.15900342,-0.30081365
8363439,0.31612515,0.15900342,-0.17879309
8385693,0.32740554,0.15694056,-0.18224649
8407466,0.341506,0.11568347,-0.18800218
8429450,0.31894523,0.157972,-0.17879309
8451438,0.31048498,0.15900342,-0.17188627
8473439,0.31612515,0.15900342,-0.17994422
8495438,0.31612515,0.16106628,-0.27894202
8517439,0.3175352,0.16003485,-0.17764194
8539450,0.3809873,0.13424917,-0.17533968
8561442,0.35560644,0.12599775,-0.17188627
8583439,0.3231754,0.157972,-0.17764194
8605439,0.3203553,0.15487772,-0.17073514
8627439,0.3513763,0.1538463,-0.26397726
8649450,0.3203553,0.15487772,-0.28815114
8671439,0.32176533,0.15590914,-0.17188627
8693475,0.4881508,0.15694056,-0.16843285
8715442,0.3175352,0.10846348,-0.16728172
8737485,0.31894523,0.1538463,-0.17188627
8759438,0.31330505,0.15487772,-0.16958398
8781439,0.33586583,0.15178344,-0.17303741
8803439,0.3175352,0.15590914,-0.2893023
8825439,0.31330505,0.1538463,-0.16497944
8847439,0.39367768,0.13631202,-0.17188627
8869442,0.34291604,0.11465205,-0.17764194
8891450,0.32740554,0.15178344,-0.16728172
8913453,0.311895,0.15178344,-0.17073514
8935439,0.32176533,0.15075201,-0.23289655
8957676,0.34432608,0.11980918,-0.16843285
8979439,0.3231754,0.15178344,-0.16728172
9001497,0.48956084,0.15075201,-0.1638283
9023442,0.32740554,0.10949492,-0.16843285
9045442,0.31330505,0.15281487,-0.16267717
9067438,0.31612515,0.15075201,-0.17649081
9089438,0.33727586,0.14559487,-0.17994422
9111439,0.31330505,0.14765772,-0.27663976
9133453,0.31471512,0.14972058,-0.15922375
9155439,0.35842654,0.12290347,-0.16613057
9177442,0.34714618,0.113620624,-0.17188627
9199439,0.30343476,0.14868915,-0.16843285
9221439,0.3020247,0.14559487,-0.17188627
9243450,0.30343476,0.1466263,-0.25016358
9265439,0.3020247,0.1466263,-0.28239545
9286439,0.53327227,0.14456344,-0.16267717
9307450,0.31612515,0.14353201,-0.18109536
9329471,0.30061466,0.13734345,-0.17764194
9352445,0.29497448,0.14043774,-0.17073514
9374450,0.29356444,0.13837488,-0.17533968
9396654,0.28792423,0.13631202,-0.20872265
9419473,0.2893343,0.13837488,-0.29160455
9442470,0.280874,0.13837488,-0.28469774
9465452,0.5205819,0.13424917,-0.17073514
9487442,0.27241373,0.13528061,-0.17994422
9509439,0.2865142,0.09608636,-0.16728172
9530439,0.47123027,0.13321774,-0.16843285
9552439,0.4909709,0.13218631,-0.16843285
9574439,0.2921544,0.13321774,-0.26743066
9596478,0.27241373,0.103306346,-0.12929419
9618388,0.2752338,0.12909204,-0.17994422
9640450,0.2963845,0.099180646,-0.17533968
9662472,0.2569032,0.082677804,-0.17994422
9684462,0.2569032,0.12599775,-0.18339764
9707117,0.2526731,0.12599775,-0.18569992
9731107,0.36124665,0.12599775,-0.18454877
9753439,0.24280277,0.12290347,-0.18915333
9774439,0.5205819,0.1239349,-0.28815114
9797450,0.48956084,0.11980918,-0.22023404
9819950,0.23857261,0.0713321,-0.18224649
9841467,0.24562286,0.091960646,-0.04526116
9862467,0.23152238,0.09711778,-0.14886352
9885439,0.2258822,0.112589195,-0.19951355
9908710,0.2230621,0.113620624,-0.20181584
9930439,0.21460183,0.10949492,-0.19836241
9952440,0.21037169,0.10743205,-0.19721128
9974439,0.41623846,0.106400624,-0.20296697
9997503,0.2413927,0.08474065,-0.19951355
10019468,0.66581666,0.0713321,-0.2098738
10040857,0.49943116,0.103306346,-0.20296697
10061508,0.3231754,0.09711778,-0.20296697
10083473,0.2047315,0.10021207,-0.21102493
10104468,0.29779458,0.03420072,-0.04526116
10126539,0.18499085,0.01769788,0.022655942
10148496,0.19486119,0.04142071,-0.22368744
10172439,0.17653058,0.091960646,-0.21678062
10193625,0.17794062,0.07855209,-0.20296697
10215438,0.16807029,0.09505493,-0.21447834
10238632,0.1708904,0.0940235,-0.2939068
10261450,0.1708904,0.092992075,-0.2593727
10284439,0.17512053,0.091960646,-0.345708
10306487,0.16807029,0.09505493,-0.22023404
10328439,0.42187864,0.09092922,-0.22253631
10350645,0.18781096,0.08680351,-0.23404768
10372439,0.17794062,0.09608636,-0.21793176
10393450,0.1835808,0.0898978,-0.22714084
10414439,0.17935067,0.099180646,-0.2098738
10436467,0.3809873,0.099180646,-0.3238364
10458442,0.43315902,0.09711778,-0.20872265
10480467,0.1920411,0.09814921,-0.21908289
10502438,0.19486119,0.04554642,-0.2133272
10524439,0.19768128,0.081646375,-0.22023404
10546439,0.18640089,0.10021207,-0.2133272
10568690,0.18640089,0.104337774,-0.21447834
10590439,0.40636814,0.102274925,-0.27433747
10612826,0.19345114,0.06411211,-0.22253631
10634439,0.19768128,0.10743205,-0.20526925
10655439,0.20332146,0.091960646,-0.22023404
10678473,0.20050137,0.09505493,-0.22598971
10700841,0.44443938,0.106400624,-0.21562949
10722501,0.20050137,0.10949492,-0.22714084
10744481,0.39790785,0.10743205,-0.3272898
10766484,0.4387992,0.111557774,-0.20642038
10788473,0.19909132,0.10846348,-0.2317454
10810473,0.2019114,0.07648924,-0.21562949
10832481,0.21037169,0.10743205,-0.22598971
10855439,0.19909132,0.11568347,-0.21908289
10877439,0.20896165,0.11465205,-0.25361702
10900439,0.21319178,0.113620624,-0.32268524
10923127,0.22024201,0.11568347,-0.21908289
10947133,0.21742192,0.0898978,-0.21217607
10968467,0.4091882,0.11465205,-0.32613868
10990442,0.31330505,0.082677804,-0.2006647
11012478,0.24985299,0.07339496,-0.19836241
11034438,0.23293243,0.12290347,-0.20296697
11057439,0.23857261,0.1239349,-0.20757152
11078439,0.24280277,0.12599775,-0.32038298
11101439,0.25408313,0.121872045,-0.31577843
11122439,0.25831327,0.12290347,-0.2006647
11144449,0.280874,0.08577209,-0.20757152
11166439,0.26959363,0.09711778,-0.20642038
11189439,0.26959363,0.111557774,-0.20757152
11213574,0.25831327,0.13012345,-0.19260673
11237056,0.25831327,0.13321774,-0.20526925
11258473,0.25831327,0.13631202,-0.19606015
11280836,0.51071155,0.13837488,-0.20296697
11302485,0.33586583,0.13837488,-0.20526925
11325823,0.55724305,0.1425006,-0.20526925
11348449,0.2836941,0.14559487,-0.11548054
11371439,0.5445527,0.15075201,-0.19606015
11393651,0.30907494,0.11980918,-0.062528215
11416448,0.34009594,0.111557774,-0.20296697
11438641,0.31894523,0.13631202,-0.017633865
11460478,0.32740554,0.15694056,-0.030296374
11481478,0.34009594,0.17550626,-0.18569992
11504449,0.5290421,0.13837488,-0.3238364
11525439,0.6700468,0.1538463,-0.20411812
11548449,0.39508778,0.1847891,-0.20181584
11570449,0.3908576,0.121872045,0.005388882
11593439,0.41200832,0.15590914,-0.194909
11615440,0.41905853,0.20129195,-0.22598971
11637439,0.4303389,0.20954336,-0.21217607
11659476,0.44866952,0.21160622,-0.20642038
11681439,0.46700013,0.21573192,-0.30196476
11704477,0.7165783,0.21779478,-0.21562949
11726439,0.73631895,0.2219205,-0.21678062
11747439,0.50366133,0.21366906,-0.22138517
11769466,0.5276321,0.21470049,-0.22598971
11792482,0.5431426,0.23326619,-0.22483857
11814438,0.5614732,0.23532905,-0.2317454
11836854,0.5755737,0.23842333,-0.23059428
11858442,0.7927208,0.23636048,-0.23289655
11879442,0.60659474,0.24048617,-0.23980336
11902473,0.6206952,0.24254903,-0.24786131
11924473,0.6418458,0.22501479,-0.2559193
11946473,0.6503061,0.24048617,-0.2628261
11968474,0.66158646,0.24461189,-0.26627952
11990473,0.68132716,0.24976905,-0.27663976
12012477,0.87732357,0.24564332,-0.27548862
12034484,0.95769626,0.24358046,-0.2812443
12056501,0.71516824,0.24770619,-0.28239545
12078473,0.71516824,0.23120335,-0.29160455
12100478,0.7320888,0.24358046,-0.2962091
12123119,0.9746168,0.24770619,-0.29851136
12144484,0.7490094,0.24873762,-0.3146273
12166486,0.9858972,0.24667473,-0.3088716
12187478,0.7616998,0.24564332,-0.32959208
12210439,0.7743902,0.24564332,-0.33189434
12232439,0.7772103,0.23223478,-0.33189434
12254450,0.7913107,0.2415176,-0.34801027
12276439,0.78849065,0.24564332,-0.35376596
12298439,0.79695094,0.24564332,-0.36067277
12320445,0.98307705,0.24254903,-0.35376596
12342439,1.0521693,0.24461189,-0.37218416
12364500,0.81669164,0.24048617,-0.38139325
12385478,0.8195117,0.2188262,-0.3859978
12408495,0.8265619,0.23945475,-0.396358
12430440,0.83361214,0.2373919,-0.40671828
12453442,1.0676799,0.23842333,-0.40211374
12475451,0.8364323,0.23532905,-0.396358
12497450,1.07473,0.23429762,-0.40786943
12519439,0.87027335,0.21057479,-0.40556714
12542322,0.8434825,0.23326619,-0.4136251
12564439,0.860403,0.23223478,-0.4262876
12587450,0.858993,0.22914049,-0.43089217
12609654,0.87168336,0.22810906,-0.44700807
12631438,0.86322314,0.23017192,-0.5483082
12654262,0.8660432,0.22398336,-0.4447058
12675438,0.8674532,0.22707763,-0.43895012
12697439,0.90552455,0.20129195,-0.45276377
12719442,0.8787336,0.2260462,-0.45276377
12741439,0.8829638,0.22398336,-0.4596706
12763439,0.8815537,0.22295193,-0.4654263
12785447,0.88014364,0.22088908,-0.55176157
12807889,0.9717967,0.22295193,-0.47578654
12829451,0.88014364,0.2219205,-0.48154223
12851439,0.8871939,0.18582053,-0.48154223
12873442,0.8956542,0.22088908,-0.49190244
12895468,1.0563995,0.2219205,-0.47233313
12917439,0.88437384,0.22295193,-0.49535584
12939438,0.8956542,0.2188262,-0.5103206
12961438,0.8787336,0.2219205,-0.4999604
12984474,0.8815537,0.21985763,-0.5080184
13006442,0.88437384,0.21985763,-0.51147175
13028856,0.88437384,0.17034912,-0.5195297
13049574,0.8759135,0.2188262,-0.521832
13071455,0.888604,0.21263765,-0.5080184
13092829,0.8857839,0.21676335,-0.6173764
13113460,0.8857839,0.21263765,-0.5172275
13135449,1.0042278,0.18169482,-0.5149252
13159473,1.07473,0.17550626,-0.5264365
13181671,0.9027044,0.17447484,-0.5252854
13203496,0.9168049,0.20541766,-0.53334343
13225860,0.9083446,0.20232338,-0.52988994
13247470,0.90552455,0.2033548,-0.6507594
13269473,1.1452323,0.2033548,-0.6369457
13291468,0.91539484,0.20026052,-0.5264365
13313473,1.1607429,0.16312914,-0.5264365
13336439,1.0803702,0.15900342,-0.5321923
13358452,0.9182149,0.14972058,-0.5264365
13381470,0.9168049,0.15075201,-0.51837856
